,Date,Symbol,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta (5Y Monthly),52-Week Change,S&P500 52-Week Change,52 Week High,52 Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Avg Vol (10 day),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Short % of Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Dividend Date,Ex-Dividend Date,Last Split Factor,Last Split Date,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm)
55,20200520,AKRX,36.92M,754.27M,,1.46,0.08,0.05,0.15,1.11,78.82,1.14,-93.62%,3.13%,5.4600,0.1800,0.2654,1.6371,10.84M,18.48M,133.15M,104.37M,8.14%,75.93%,8.37M,0.67,9.29%,8.08%,,,,,,0.00%,,"May 23, 1991",,,"Dec 30, 2019","Dec 30, 2019",-33.23%,-8.90%,-2.73%,-66.88%,682.43M,5.42,5.80%,252.71M,9.57M,-226.77M,-1.8000,,144.8M,1.15,867.69M,370.35,0.49,1.86,-36.92M,-13.47M
56,20200520,CCO,451.09M,7.08B,,-1.97,-1.24,0.17,,2.67,13.58,2.15,-82.23%,3.13%,5.4700,0.3600,0.7763,1.9402,3.88M,2.74M,467.3M,463.42M,0.17%,62.63%,13.39M,5.01,5.04%,3.89%,,,,,,0.00%,"Jan 23, 2018",,,,"Dec 30, 2019","Mar 30, 2020",-18.00%,7.97%,2.12%,,2.65B,6.04,-6.20%,1.23B,521.07M,-476.63M,-1.0920,,371.77M,0.8,6.91B,,1.26,-5.36,163.58M,-273.38M
57,20200520,JE,59.9M,66.09M,0.24,0.80,,,,,,1.51,-88.10%,3.13%,4.4200,0.3500,0.4589,1.2524,657.66k,598.33k,151.59M,97.93M,42.98%,22.54%,3.81M,6.37,,2.44%,,,0.38,92.91%,9.92,,"Jun 27, 2019","Jun 13, 2019",2:1,"Jan 27, 2004","Mar 30, 2019","Dec 30, 2019",-8.11%,0.00%,0.85%,,,,-10.30%,712.22M,,,1.7600,,,,,,0.76,-0.05,,
58,20200520,GRPN,721.26M,279.61M,,42.33,1.43,0.33,1.82,0.13,3.14,1.76,-65.44%,3.13%,3.7500,0.4800,1.0277,1.9743,19.59M,8.34M,567.89M,359.15M,22.75%,73.67%,33.9M,1.35,5.70%,3.79%,,,,,,0.00%,,,,,"Dec 30, 2019","Dec 30, 2019",-1.01%,1.80%,1.54%,-3.68%,2.22B,3.91,-23.50%,1.19B,89.03M,-24.97M,-0.0390,66.70%,750.89M,1.33,371.76M,94.11,1.08,0.70,71.28M,18.54M
59,20200520,MEIP,314.81M,197.74M,,-6.46,104.20,69.36,4.22,43.56,-4.05,1.85,-8.13%,3.13%,3.6400,0.7200,2.3014,2.0660,1.9M,1.71M,106M,66.59M,3.00%,69.40%,2.57M,1.3,4.25%,4.23%,,,,,,0.00%,,,1:6,"Dec 18, 2012","Jun 29, 2019","Mar 30, 2020",0.00%,"-1,077.84%",-33.50%,-43.58%,4.54M,0.05,-0.40%,652k,-48.8M,-24.49M,-0.4720,,92.8M,0.88,100k,0.13,9.30,0.70,-42.92M,-25.52M
60,20200520,AGEN,439.72M,391.49M,,-2.06,,5.16,,4.59,-3.31,1.92,-16.11%,3.13%,4.5700,1.8200,2.5706,3.2603,2.8M,3.09M,169.78M,111.2M,19.71%,41.54%,13.99M,7.33,10.79%,9.54%,,,,,,0.00%,,,1:6,"Oct 02, 2011","Dec 30, 2019","Mar 30, 2020",-199.76%,-146.73%,,,85.28M,0.61,-81.10%,-18.29M,-118.45M,-170.57M,-1.2150,,61.81M,0.38,23.54M,,,-1.63,,
61,20200520,TXMD,312.41M,428.9M,,-4.79,-0.10,5.39,,7.40,-2.65,2.23,-63.50%,3.13%,4.3200,0.8500,1.1063,1.9393,5.26M,3.5M,271.68M,244.91M,12.67%,71.24%,88.78M,14.51,33.24%,29.97%,,,,,,0.00%,,,1:100,"Oct 02, 2011","Dec 30, 2019","Mar 30, 2020",0.00%,-283.04%,-45.51%,"-2,499.18%",57.95M,0.23,210.40%,43.31M,-161.73M,-193.49M,-0.7620,,170.1M,0.63,253.96M,,3.44,-0.17,-166.65M,-121.91M
62,20200520,SABR,1.89B,4.88B,,62.50,0.51,0.53,2.81,1.36,19.93,,-66.62%,3.13%,25.44,3.30,6.09,15.88,9.92M,10.36M,275.52M,272.13M,0.52%,93.51%,6.41M,2.03,9.88%,8.85%,,,0.56,8.38%,2.38,,"Mar 29, 2020","Mar 18, 2020",,,"Dec 30, 2019","Mar 30, 2020",-3.10%,3.29%,1.28%,-12.70%,3.58B,13.09,-37.20%,939.99M,244.65M,-108.5M,-0.41,,684.47M,2.49,3.7B,541.82,1.24,2.45,466.36M,541.34M
63,20200520,MIK,440.51M,4.41B,1.68,1.70,0.47,0.09,,0.87,6.61,2.55,-69.90%,3.13%,11.1000,1.0000,2.5133,5.1020,5.06M,2.99M,147.33M,73.12M,0.47%,117.40%,27.16M,5.76,38.72%,19.40%,,,,,,0.00%,,,,,"Jan 31, 2020","Jan 31, 2020",5.37%,11.29%,12.00%,,5.07B,33.12,-3.70%,1.88B,666.5M,272.28M,1.7770,0.10%,409.96M,2.79,4.35B,,1.34,-9.85,493.18M,262.25M
64,20200520,CLVS,606.75M,1.08B,,-2.57,-0.02,3.98,,7.06,-3.02,2.57,-48.54%,3.13%,17.61,2.93,7.94,8.45,7.53M,13.64M,76.9M,68.36M,2.27%,48.46%,25.12M,3.92,30.16%,29.12%,,,,,,0.00%,,,,,"Dec 30, 2019","Mar 30, 2020",-271.13%,-238.84%,-32.83%,,152.45M,2.60,28.50%,113.08M,-355.94M,-413.34M,-7.06,,228.36M,2.97,610.45M,,2.47,-1.73,-307.66M,-152.2M
