,Date,Symbol,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta (5Y Monthly),52-Week Change,S&P500 52-Week Change,52 Week High,52 Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Avg Vol (10 day),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Short % of Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Dividend Date,Ex-Dividend Date,Last Split Factor,Last Split Date,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm)
23,20200520,GMLP,163.54M,1.71B,29.13,2.36,0.38,0.55,0.38,5.72,8.26,1.08,-79.69%,3.13%,12.1100,1.3000,2.4349,5.8555,646.96k,258.37k,69.3M,47.97M,30.63%,32.21%,1.78M,1.29,2.33%,1.63%,0.08,3.88%,1.62,68.52%,15.31,"2,021.00%","May 13, 2020","May 05, 2020",,,"Dec 30, 2019","Dec 30, 2019",5.94%,44.85%,3.86%,2.99%,299.65M,4.23,-4.30%,231.05M,207.72M,5.76M,0.0810,,47.66M,0.67,1.38B,210.80,0.43,6.17,152.71M,58.82M
24,20200520,EXK,272.57M,202.94M,,9.47,,2.36,2.48,1.75,-29.70,,-0.56%,3.13%,3.2000,0.9900,1.4886,1.8847,2.81M,4.12M,143.84M,141.34M,,,8.32M,3.34,,5.42%,,,,,,0.00%,,,1:4,"Aug 26, 2002","Dec 30, 2019","Mar 30, 2020",-43.86%,-32.17%,-14.76%,-41.74%,115.63M,0.84,-24.80%,14.13M,-6.83M,-50.71M,-0.3710,,15.07M,0.11,12.64M,11.60,2.15,0.76,-3.09M,-2.35M
25,20200520,AMRN,2.8B,2.5B,,13.22,-1.93,5.48,4.66,4.89,-102.53,2.83,-55.95%,3.13%,26.12,3.95,6.94,15.55,15.82M,8.65M,385.49M,346.99M,0.99%,43.74%,34.75M,1.35,,9.89%,,,,,,0.00%,,,1:10,"Jan 17, 2008","Dec 30, 2019","Mar 30, 2020",-3.67%,-5.00%,-2.46%,-5.16%,511.47M,1.46,111.50%,333.74M,-24.37M,-18.77M,-0.06,,542.24M,1.41,47.1M,8.04,2.63,1.56,32.86M,34.87M
26,20200520,HHS,15.56M,36.78M,,,0.11,0.07,,0.17,-3.61,1.70,-23.47%,3.13%,3.9700,1.1000,1.9317,2.7921,16.95k,20.07k,6.44M,3.66M,40.69%,52.17%,25.52k,0.43,0.30%,0.15%,,,0.00,0.00%,,0.00%,"Mar 14, 2016","Feb 25, 2016",1:10,"Jan 31, 2018","Dec 30, 2019","Dec 30, 2019",-12.07%,-7.15%,-8.26%,,217.58M,34.62,-25.50%,14.09M,-10.2M,-26.76M,-4.2600,,28.1M,4.45,39.39M,,1.74,-7.88,12.1M,9.68M
27,20200520,INWK,61.27M,244.39M,,4.68,1.01,0.05,0.34,0.21,7.46,2.30,-67.83%,3.13%,5.8100,0.8700,1.2920,3.4424,220.81k,213.73k,52.37M,35.35M,21.89%,84.21%,1.39M,6.57,4.80%,3.23%,,,,,,0.00%,,,,,"Dec 30, 2019","Dec 30, 2019",-0.87%,2.33%,2.69%,-5.61%,1.16B,21.73,8.90%,262.01M,32.78M,-10.07M,-0.1900,,42.71M,0.82,212.78M,119.37,1.52,3.43,22.47M,17.11M
28,20200520,FLNT,139.66M,212.2M,,-61.33,-0.72,0.50,0.66,0.75,9.64,2.53,-67.97%,3.13%,6.1200,1.0200,1.6631,2.0677,339.96k,404.07k,76.23M,35.38M,46.82%,31.36%,1.62M,5.09,3.08%,1.67%,,,,,,0.00%,,,1:5,"Mar 19, 2015","Dec 30, 2019","Dec 30, 2019",-0.62%,2.87%,1.65%,-0.84%,281.68M,3.55,13.00%,87.25M,22.02M,-1.75M,-0.0220,-41.80%,18.68M,0.25,63.13M,29.93,1.56,2.78,26.02M,21.15M
29,20200520,RFP,165.27M,953.01M,,23.65,-7.67,0.06,0.14,0.34,6.76,3.01,-70.74%,3.13%,7.3300,1.1400,1.6986,2.9732,332.95k,185.38k,87.36M,87.02M,1.24%,88.89%,578.07k,1.92,0.87%,0.56%,,,,,,0.00%,"Dec 19, 2018","Dec 04, 2018",,,"Dec 30, 2019","Mar 30, 2020",-3.20%,-0.99%,-0.46%,-6.40%,2.82B,31.19,-13.30%,738M,141M,-90M,-0.9960,,116M,1.32,883M,71.56,3.21,13.99,13M,5.12M
30,20200520,WPG,126.75M,3.52B,,-1.33,,0.20,0.20,5.46,10.74,1.63,-85.24%,3.13%,4.7500,0.5590,0.7488,2.5801,7.16M,4.47M,187.36M,166.82M,1.10%,84.84%,63.33M,10.3,57.52%,37.05%,,,0.75,109.47%,17.49,,"Mar 15, 2020","Mar 05, 2020",,,"Dec 30, 2019","Mar 30, 2020",1.99%,14.03%,1.32%,1.32%,645.26M,3.44,-9.60%,424.18M,327.63M,-1.21M,-0.0160,,39.61M,0.23,3.13B,359.02,0.49,3.33,,
31,20200520,MFA,756.7M,10.7B,2.11,2.57,0.48,1.62,0.22,22.87,,1.52,-77.79%,3.13%,8.0900,0.3200,1.5931,5.7443,33.85M,17.39M,453.12M,449.29M,0.60%,76.47%,10.93M,0.72,7.00%,6.95%,,,0.80,49.69%,11.98,101.27%,"Apr 29, 2020","Mar 29, 2020",,,"Dec 30, 2019","Dec 30, 2019",80.82%,80.82%,2.91%,11.12%,467.83M,1.04,52.40%,423.37M,,362.03M,0.7930,65.30%,70.63M,0.16,10.03B,296.45,50.71,7.48,215.78M,
32,20200520,MBII,158.83M,167.21M,,-10.65,,5.41,6.30,5.69,-8.60,0.10,-40.56%,3.13%,1.8500,0.6100,0.7894,1.0154,252.63k,477.78k,149.13M,78.84M,0.80%,73.29%,2.82M,13.08,5.13%,2.21%,,,,,,0.00%,,,,,"Dec 30, 2019","Dec 30, 2019",-126.56%,-74.17%,-22.83%,-203.73%,29.37M,0.25,17.00%,16.11M,-19.44M,-37.17M,-0.3150,,6.25M,0.04,27.93M,118.55,1.03,0.17,-21.34M,-4.94M
