,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,CallPut,Symbol
59,NOK200619P00004000,2020-05-15 3:24PM EDT,4.0,0.59,0.58,0.6,-0.1,-14.49%,15,896,50.00%,put,NOK
60,NOK200619P00005000,2020-05-04 9:48AM EDT,5.0,1.5,1.53,1.6,0.0,-,10,13,70.31%,put,NOK
61,NOK200626C00001000,2020-05-11 12:49PM EDT,1.0,2.59,-,-,0.0,-,-,-,0.00%,call,NOK
62,NOK200626C00003000,2020-05-14 10:47AM EDT,3.0,0.45,0.46,0.58,0.0,-,103,103,53.13%,call,NOK
63,NOK200626C00003500,2020-05-15 3:03PM EDT,3.5,0.19,0.15,0.27,0.01,+5.56%,20,404,50.39%,call,NOK
64,NOK200626C00004000,2020-05-15 3:02PM EDT,4.0,0.08,0.06,0.09,0.01,+14.29%,99,104,53.13%,call,NOK
65,NOK200626C00004500,2020-05-15 12:28PM EDT,4.5,0.04,0.01,0.05,0.01,+33.33%,170,264,57.81%,call,NOK
66,NOK200626C00005000,2020-05-15 10:51AM EDT,5.0,0.03,0.00,0.06,-0.02,-40.00%,1,1652,73.44%,call,NOK
67,NOK200626P00003000,2020-05-15 1:12PM EDT,3.0,0.07,0.04,0.11,-0.23,-76.67%,200,3,54.69%,put,NOK
68,NOK200626P00003500,2020-05-14 3:18PM EDT,3.5,0.28,0.3,0.35,0.0,-,-,-,64.45%,put,NOK
69,NOK200626P00004000,2020-05-11 2:26PM EDT,4.0,0.54,0.67,0.77,0.0,-,-,-,77.34%,put,NOK
70,NOK200717C00001000,2020-04-28 3:53PM EDT,1.0,2.48,2.4,2.53,0.0,-,5,22,162.50%,call,NOK
71,NOK200717C00002000,2020-05-14 1:03PM EDT,2.0,1.42,1.4,1.55,0.0,-,4,333,85.94%,call,NOK
72,NOK200717C00003000,2020-05-15 2:04PM EDT,3.0,0.57,0.54,0.57,0.05,+9.62%,35,2809,51.56%,call,NOK
73,NOK200717C00004000,2020-05-15 3:05PM EDT,4.0,0.11,0.1,0.11,0.02,+22.22%,706,29926,50.00%,call,NOK
74,NOK200717C00005000,2020-05-15 3:55PM EDT,5.0,0.04,0.04,0.05,0.0,-,662,25199,66.41%,call,NOK
75,NOK200717C00006000,2020-05-15 2:59PM EDT,6.0,0.01,0.01,0.03,-0.01,-50.00%,155,9269,75.00%,call,NOK
76,NOK200717C00007000,2020-05-14 11:35AM EDT,7.0,0.02,0.0,0.03,0.0,-,2,325,85.94%,call,NOK
77,NOK200717C00008000,2020-05-07 12:03PM EDT,8.0,0.02,0.0,0.03,0.0,-,1,362,98.44%,call,NOK
78,NOK200717P00001000,2020-05-12 9:30AM EDT,1.0,0.01,0.0,0.04,0.0,-,4,24,171.88%,put,NOK
79,NOK200717P00002000,2020-05-14 10:47AM EDT,2.0,0.03,0.0,0.04,0.0,-,20,1673,82.81%,put,NOK
80,NOK200717P00003000,2020-05-15 10:32AM EDT,3.0,0.08,0.09,0.1,-0.02,-20.00%,10,14562,50.39%,put,NOK
81,NOK200717P00004000,2020-05-14 2:41PM EDT,4.0,0.71,0.62,0.66,0.0,-,388,19637,50.78%,put,NOK
82,NOK200717P00005000,2020-05-12 11:52AM EDT,5.0,1.43,1.51,1.63,0.0,-,3,1263,54.69%,put,NOK
83,NOK200717P00006000,2020-05-11 3:30PM EDT,6.0,2.43,2.53,2.6,0.0,-,1,980,71.88%,put,NOK
84,NOK201016C00001000,2020-04-29 9:33AM EDT,1.0,2.51,2.39,2.54,0.0,-,1,11,103.13%,call,NOK
85,NOK201016C00002000,2020-05-14 2:39PM EDT,2.0,1.42,1.42,1.57,0.0,-,5,191,63.28%,call,NOK
86,NOK201016C00003000,2020-05-15 2:36PM EDT,3.0,0.7,0.68,0.73,0.06,+9.38%,24,2004,53.71%,call,NOK
87,NOK201016C00004000,2020-05-15 3:59PM EDT,4.0,0.25,0.23,0.25,0.03,+13.64%,34,9340,49.61%,call,NOK
88,NOK201016C00005000,2020-05-15 1:09PM EDT,5.0,0.1,0.09,0.11,0.02,+25.00%,784,3716,52.93%,call,NOK
89,NOK201016C00006000,2020-05-15 9:44AM EDT,6.0,0.04,0.02,0.05,0.0,-,1,1034,53.13%,call,NOK
90,NOK201016C00007000,2020-05-14 11:38AM EDT,7.0,0.02,0.02,0.04,0.0,-,1,165,61.72%,call,NOK
91,NOK201016C00008000,2020-05-15 1:46PM EDT,8.0,0.03,0.01,0.03,0.01,+50.00%,1,148,65.63%,call,NOK
92,NOK201016P00001000,2020-04-15 3:26PM EDT,1.0,0.02,0.0,0.05,0.0,-,1,2,114.06%,put,NOK
93,NOK201016P00002000,2020-05-15 10:01AM EDT,2.0,0.03,0.03,0.08,-0.02,-40.00%,2,2023,66.41%,put,NOK
94,NOK201016P00003000,2020-05-15 2:23PM EDT,3.0,0.21,0.21,0.23,-0.04,-16.00%,19,5597,50.39%,put,NOK
95,NOK201016P00004000,2020-05-15 2:22PM EDT,4.0,0.76,0.76,0.79,-0.07,-8.43%,20,212,48.44%,put,NOK
96,NOK201016P00005000,2020-05-12 1:54PM EDT,5.0,1.48,1.6,1.64,0.0,-,10,34,51.17%,put,NOK
97,NOK201016P00006000,2020-05-05 10:59AM EDT,6.0,2.58,2.49,2.66,0.0,-,2,3,50.00%,put,NOK
98,NOK201016P00007000,2020-04-01 9:34AM EDT,7.0,3.97,0.0,0.0,0.0,-,1,4,0.00%,put,NOK
99,NOK210115C00001000,2020-05-05 11:09AM EDT,1.0,2.5,2.3,2.66,0.0,-,1,186,93.75%,call,NOK
100,NOK210115C00002000,2020-05-14 11:04AM EDT,2.0,1.45,1.46,1.7,0.0,-,15,2719,69.14%,call,NOK
101,NOK210115C00003000,2020-05-15 3:58PM EDT,3.0,0.81,0.76,0.81,0.08,+10.96%,26,13821,50.78%,call,NOK
102,NOK210115C00004000,2020-05-15 3:57PM EDT,4.0,0.35,0.33,0.35,0.05,+16.67%,312,41800,48.44%,call,NOK
103,NOK210115C00005000,2020-05-15 3:59PM EDT,5.0,0.15,0.14,0.15,0.01,+7.14%,232,137071,48.05%,call,NOK
104,NOK210115C00006000,2020-05-15 3:32PM EDT,6.0,0.07,0.03,0.08,-0.01,-12.50%,12,1147,50.78%,call,NOK
105,NOK210115C00007000,2020-05-15 3:32PM EDT,7.0,0.04,0.03,0.05,0.0,-,156,89882,51.56%,call,NOK
106,NOK210115C00010000,2020-05-15 3:25PM EDT,10.0,0.02,0.02,0.02,0.0,-,448,109270,62.50%,call,NOK
107,NOK210115P00001000,2020-04-15 1:09PM EDT,1.0,0.01,0.0,0.05,0.0,-,1,484,90.63%,put,NOK
108,NOK210115P00002000,2020-05-11 9:53AM EDT,2.0,0.07,0.02,0.1,0.0,-,1,5082,53.91%,put,NOK
109,NOK210115P00003000,2020-05-15 9:47AM EDT,3.0,0.29,0.26,0.31,0.0,-,3,32226,48.24%,put,NOK
110,NOK210115P00004000,2020-05-12 2:42PM EDT,4.0,0.74,0.7,0.96,0.0,-,6,10395,53.91%,put,NOK
111,NOK210115P00005000,2020-05-13 12:50PM EDT,5.0,1.68,1.62,1.83,0.0,-,1,9830,50.98%,put,NOK
112,NOK210115P00006000,2020-05-08 3:57PM EDT,6.0,2.47,2.5,2.68,0.0,-,2,4,58.40%,put,NOK
113,NOK210115P00007000,2020-05-06 10:32AM EDT,7.0,3.6,3.45,3.7,0.0,-,1,4765,71.09%,put,NOK
114,NOK210115P00010000,2020-03-12 3:14PM EDT,10.0,7.45,6.55,6.95,0.0,-,9,259,99.22%,put,NOK
115,NOK210618C00001000,2020-05-14 9:33AM EDT,1.0,2.38,2.32,2.67,0.0,-,9,5,80.47%,call,NOK
