Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
RESN,1.7,2020/04/17,16:00 EDT,-0.07999992,1.88,1.9,1.66,888053,20200325,1.26,100.0,,,,
IMMP,0.9351,2020/04/17,15:58 EDT,0.015100002,1.01,1.01,0.9,251130,20200325,0.7,4200.0,,,,
ARLO,2.19,2020/04/17,16:02 EDT,0.07000017,2.2,2.284,2.1,774169,20200324,1.8,1700.0,,,,
GSAT,0.2997,2020/04/17,16:00 EDT,0.011299998,0.3,0.3001,0.2933,1021829,20200324,0.3,10000.0,,,,
AKRX,0.267,2020/04/17,16:00 EDT,0.072,0.195,0.4897,0.195,119886282,20200323,0.46,6500.0,,,,
AKRX,0.267,2020/04/17,16:00 EDT,0.072,0.195,0.4897,0.195,119886282,20200401,0.3,6500.0,,,,
CCO,0.77,2020/04/17,16:02 EDT,0.043899953,0.76,0.8,0.7331,3676679,20200323,0.48,6000.0,,,,
CDEV,0.2895,2020/04/17,16:00 EDT,0.017499983,0.2764,0.29,0.27,10111713,20200320,0.56,5000.0,,,,
ACB,0.69,2020/04/17,16:02 EDT,0.021399975,0.685,0.745,0.6841,32263761,20200320,0.9,3000.0,,,,
JE,0.46,2020/04/17,16:02 EDT,0.031700015,0.46,0.46,0.4326,352161,20200320,0.56,5000.0,,,,
I,1.36,2020/04/17,16:02 EDT,0.14999998,1.3,1.39,1.22,8508490,20200320,2.08,1500.0,,,,
I,1.36,2020/04/17,16:02 EDT,0.14999998,1.3,1.39,1.22,8508490,20200401,1.305,1500.0,,,,
GRPN,0.9341,2020/04/17,16:00 EDT,0.07409996,0.897,0.935,0.8897,14124367,20200320,0.75,4000.0,,,,
MEIP,2.42,2020/04/17,16:00 EDT,0.10000014,2.4,2.475,2.28,2470703,20200320,0.99,3000.0,,,,
AGEN,2.69,2020/04/17,16:00 EDT,0.08000016,2.68,2.78,2.63,1686539,20200320,2.06,1500.0,,,,
TXMD,0.9543,2020/04/17,16:00 EDT,0.019299984,0.9684,0.98,0.9126,2485309,20200320,1.06,3000.0,,,,
SABR,5.995,2020/04/17,16:00 EDT,0.2249999,6.17,6.25,5.91,9438105,20200320,3.88,1000.0,,,,
MIK,2.42,2020/04/17,16:00 EDT,0.19000006,2.6,2.65,2.275,3809033,20200320,1.58,2000.0,,,,
CLVS,8.16,2020/04/17,16:00 EDT,0.7999997,7.53,8.215,7.45,7430727,20200320,4.44,1000.0,,,,
